Title,Actors,Director
David Bowie,Charles Band,Honky Tonk Freeway
James Woods,Howard Avedis,Raggedy Man
Peter Keleghan,Michael Tuchner,King of the Mountain
Jane Alexander,Mel Damski,Cutter's Way
Elizabeth Montgomery,Greydon Clark,Silence of the North
Tommy Lee Jones,Donald Shebib,Night School
Rosanna Arquette,Antonio Margheriti,Eyes of a Stranger
Christopher Cazenove,Robert Lieberman,Cattle Annie and Little Britches
Steve Sandor,Nagisa Ôshima,Hard Country
Malcolm McDowell,Rafal Zielinski,Man of Iron
Linda Griffiths,Lynne Littman,Kelly
Pia Zadora,Ferdinand Fairfax,Second-Hand Hearts
Peter Weller,John Sayles,E.T. the Extra-Terrestrial
Martin Yost,James Ivory,Tootsie
Randy Norton,Cirio H. Santiago,An Officer and a Gentleman
Kevin Kline,Michael Laughlin,First Blood
Timothy Hutton,Curtis Hanson,Rocky III
Matthew Modine,Peter Sasdy,Star Trek II: The Wrath of Khan
Bonnie Bedelia,George P. Cosmatos,48 Hrs.
Don Francks,William Olsen,Poltergeist
Eddie Murphy,Wilford Leach,The Best Little Whorehouse in Texas
Hoyt Axton,Jonathan Kaplan,Conan the Barbarian
Ralph Macchio,Clive Smith,Annie
Kevin Bacon,Hugh Wilson,The Verdict
Tom Hanks,James Cameron,Gandhi
Prince,Leonard Nimoy,The Toy
F. Murray Abraham,Albert Magnoli,Firefox
Ralph Richardson,Richard Tuggle,The Dark Crystal
Robert Carradine,Jeff Kanew,The Sword and the Sorcerer
Lucinda Dickey,Joel Silberg,Best Friends
Patrick Swayze,Roland Joffé,Richard Pryor: Live on the Sunset Strip
Sam Waterston,Joseph Zito,Friday the 13th Part III
Judie Aronson,Nick Castle,TRON
Francesca Annis,David Lean,Young Doctors in Love
Kay E. Kuter,Frank Oz,Sophie's Choice
Judy Davis,Gene Wilder,The World According to Garp
John Saxon,John Hughes,Victor Victoria
Molly Ringwald,Paul Bogart,Blade Runner
Howard E. Rollins Jr.,Lawrence Bassoff,Airplane II: The Sequel
Rachel Ward,Peter Markle,Fast Times at Ridgemont High
D.W. Brown,Wolfgang Petersen,Some Kind of Hero
Val Kilmer,Willard Huyck,Pink Floyd: The Wall
Barret Oliver,Roger Young,Things Are Tough All Over
Cliff Gorman,Robert Vincent O'Neil,Night Shift
Rae Dawn Chong,Stan Lathan,Creepshow
Peter Horton,Fritz Kiersch,Quest for Fire
Robert Beltran,Thom Eberhardt,The Man from Snowy River
Mel Gibson,Stewart Raffill,Six Pack
James Garner,Charles Shyer,My Favorite Year
Rick Springfield,Robert Butler,The Thing
Chris Penn,Marvin J. Chomsky,Deathtrap
Lisa Hartman,Hy Averback,Dead Men Don't Wear Plaid
Steven Bauer,Douglas Day Stewart,Zapped!
Rupert Everett,Andrew J. Kuehn,They Call Me Bruce
Craig Wasson,Marek Kanievska,Death Wish II
Rob Lowe,Robert Boris,Kiss Me Goodbye
Aidan Quinn,Roger Donaldson,Grease 2
Michael Paré,Michael Radford,The Secret of NIMH
Grant Cramer,James Foley,Halloween III: Season of the Witch
Vincent Spano,Édouard Molinaro,Diner
Eric Roberts,Mark Griffiths,The Beastmaster
Teri Garr,Amos Poe,Missing
Tanya Roberts,Michael Crichton,Visiting Hours
Richard Mulligan,W.D. Richter,Vice Squad
JoBeth Williams,Sergio Leone,Author! Author!
Jon Cryer,Paul Newman,Amityville II: The Possession
Bernie Worrell,Douglas Cheek,Monsignor
John Heard,Dorian Walker,Making Love
Judd Nelson,Rob Reiner,The Seduction
Rob Reiner,Gillian Armstrong,Silent Rage
Cameron Dye,William Tannen,Savannah Smiles
Karen Allen,Mark Buntzman,Class Reunion
Robert Ginty,John C. Broderick,Hanky Panky
Joe Morton,Charles E. Sellier Jr.,Shoot the Moon
Bruce Davison,Jim Jarmusch,A Midsummer Night's Sex Comedy
Lilyan Chauvin,Bertrand Tavernier,Trail of the Pink Panther
Geneviève Bujold,Steve Barron,If You Could See What I Hear
John Lurie,Sidney J. Furie,Night Crossing
Louis Ducreux,Marcelo Epstein,The Pirate Movie
Lenny von Dohlen,Thomas Rickman,The Beast Within
Harry Dean Stanton,Stephen Carpenter,Tex
Lorenzo Lamas,Armyan Bernstein,The Missionary
Debra Winger,Christopher Cain,Cat People
Bill Paterson,Russell Mulcahy,I Ought to Be in Pictures
Suzy Stokey,Bobby Roth,Six Weeks
John Shea,Alex Cox,Forced Vengeance
Gregory Harrison,Peter Bogdanovich,The Last Unicorn
Peter Coyote,Tim Burton,The Soldier
David Bradshaw,Rod Daniel,The Border
Michael J. Fox,Jack Sholder,Evil Under the Sun
Danny Glover,Susan Seidelman,Partners
Don Ameche,Tom Holland,Still of the Night
