Title,Actors,Director
Min-sik Choi,John Junkerman,Let Him Have It
Pierre Lebeau,Genndy Tartakovsky,Crooked Hearts
Sergey Dreyden,Robert Wheaton,The Dark Backward
Fanny Ardant,Indra Kumar,Lyrisch nitraat
Miho Kanno,Jalal Merhi,Convicts
Tony Hawk,Harry Gantz,Blood and Concrete
Jean-Pierre Bacri,Eric Byler,Resident Alien
James B. Douglas,Robert J. Emery,December
Sophie Vavasseur,Todd Louiso,Scissors
Troy Ruptash,Jean-Claude Brisseau,Aladdin
Stella Gonet,Bill Weber,The Bodyguard
Martin Compston,Sherman Alexie,Home Alone 2: Lost in New York
Hiam Abbass,Pete Jones,Basic Instinct
Alex Lewis,Michael Petroni,Lethal Weapon 3
Aaron Stanford,Kirby Dick,Batman Returns
Wood Harris,Gary J. Tunnicliffe,A Few Good Men
Alison Garland,David Jacobson,Sister Act
Steve Coogan,Nicolas Cage,Bram Stoker's Dracula
Jerry Seinfeld,Ramin Serry,Wayne's World
Simon Abkarian,David Attwood,Patriot Games
Matthew Davis,Julie Lopes-Curval,Alien³
Richard 'Pistol' Allen,Ventura Pons,Unforgiven
Beanie Sigel,James Anderson,Under Siege
Rahul Khanna,Sophie Muller,Death Becomes Her
Emile Hirsch,Delphine Gleize,Beethoven
Hannah Higgins,Kels Goodman,Far and Away
Sophie Lorain,Rahul Dholakia,Scent of a Woman
Jacques Gamblin,William Sachs,A League of Their Own
Mads Mikkelsen,Fisher Stevens,Boomerang
Elia Suleiman,Frank Ciota,Forever Young
Jim Fitzpatrick,Marina de Van,Sneakers
Misa Shimizu,Jorge Alí Triana,HouseSitter
Robert Evans,Neil Burger,White Men Can't Jump
Tony Goldwyn,Zoe Clarke-Williams,The Hand That Rocks the Cradle
Tony Grisoni,Eriq La Salle,The Last of the Mohicans
D. David Morin,Kantz,Stop! Or My Mom Will Shoot
Maryam Karimi,Robin Garrels,My Cousin Vinny
Will Swenson,Jeroen Berkvens,The Crying Game
Javier Lombardo,Gil Cates Jr.,Unlawful Entry
Vladimir Mashkov,Arthur Dong,The Mighty Ducks
Bruce Greenwood,Peter Mattei,Malcolm X
Oksana Akinshina,Brian T. Maeda,Single White Female
Olivier Gourmet,Barbara Willis Sweete,The Distinguished Gentleman
Kyra Sedgwick,Stella Leonetti,Medicine Man
Jeremy Hoop,Jake Torem,Passenger 57
Samantha Morton,Takashi Miike,Shining Through
Dina Meyer,Josh Koury,A River Runs Through It
Kick Gurry,David S. Goyer,Encino Man
Stephen Chang,Harry Basil,Mo' Money
Valérie Lemercier,John S. Friedman,Raising Cain
Jill Abrahm,Ian McCrudden,Universal Soldier
Vivek Oberoi,Fanta Régina Nacro,Honeymoon in Vegas
Brian Cox,Ruedi Gerber,FernGully: The Last Rainforest
Shirley Jones,Liz Garbus,The Lawnmower Man
Anni-Kristiina Juuso,Junichi Suzuki,The Muppet Christmas Carol
Connie Nielsen,Andrew Stanton,Sleepwalkers
Mania Akbari,Masahiko Murata,Hoffa
Jeff Tweedy,Aaron Blaise,3 Ninjas
Struan Rodger,Richard Curtis,Final Analysis
Lázaro Ramos,Clark Johnson,Howards End
Jorge Román,Mathieu Kassovitz,Candyman
Ernesto Mahieux,Steve Trenbirth,The Cutting Edge
Andrei Kashkar,Bo Welch,Leap of Faith
Noam Chomsky,Charles Herman-Wurmfeld,Toys
Candi Milo,Sofia Coppola,Prelude to a Kiss
Eric Schweig,Marcus Nispel,Thunderheart
Jacqueline Kim,Len Wiseman,Captain Ron
Matt Czuchry,Patrick Gilmore,The Player
Philip Seymour Hoffman,Wolfgang Becker,Consenting Adults
Coralie Revel,Francis Glebas,Straight Talk
Brad Hunt,Bille Woodruff,Kuffs
Evan Adams,Alejandro G. Iñárritu,Mr. Baseball
Benoît Brière,Patty Jenkins,Juice
Jacques Derrida,John Eng,The Babe
Belladonna,Jonathan Liebesman,Hero
Taylor Momsen,John Hoffman,Singles
The Notorious B.I.G.,Jonathan Brough,Used People
Jeremy Renner,Chris Rock,Freejack
James Franco,Paul Hunter,Pet Sematary II
Mariam Parris,Gordon Chan,Deep Cover
Víctor Huggo Martin,Peter Webber,Buffy the Vampire Slayer
Bulle Ogier,Joseph Conti,Pure Country
Juliet Stevenson,Rob Schmidt,Ladybugs
Sade,Reggie Rock Bythewood,School Ties
Julien Lescarret,Troy Byer,City of Joy
Jaelan Petrie,Prachya Pinkaew,Memoirs of an Invisible Man
Paresh Rawal,Andy Byatt,Rapid Fire
Michael Reilly Burke,Rob Zombie,Cool World
Marley Shelton,Vadim Perelman,Mr. Saturday Night
Eddie Malavarca,Ondrej Trojan,Class Act
Marina de Van,Chan-wook Park,Trespass
Robinson Díaz,Sylvain Chomet,American Me
Raymond J. Barry,Clare Kilner,Hellraiser III: Hell on Earth
Mia Kirshner,Kevin Macdonald,A Stranger Among Us
Michael Beach,Uwe Boll,Jennifer 8
Anthony 'Treach' Criss,Nikkhil Advani,Whispers in the Dark
Leah Schumacher,Gabriele Muccino,Stay Tuned
Nick Drake,Linda Mendoza,Glengarry Glen Ross
Chelsea Hobbs,Jean-François Pouliot,Husbands and Wives
Martin Donovan,François Dupeyron,Chaplin
Karen Alexander,Wayne Kramer,Gladiator
Neil Patrick Harris,Catherine Hardwicke,White Sands
Cynthia Alardo,Isabel Coixet,Once Upon a Crime...
Vera Farmiga,Pierre Salvadori,Bébé's Kids
Anne Dudek,Coline Serreau,Dr. Giggles
Eddie Mui,Tom McCarthy,Christopher Columbus: The Discovery
Adam Garcia,Yann Samuell,Damage
Danny Quinn,Glen Morgan,Sarafina!
Jade Henham,Shari Springer Berman,1492: Conquest of Paradise
Brian Burns,Ravi Chopra,The Mambo Kings
Shô Aikawa,Lauren Lazin,Article 99
Adam Koury,Gabriele Salvatores,Night and the City
Larry Pine,Ki-duk Kim,Folks!
Rehane Abrahams,Michel Boujenah,Indochine
Chelsea Altman,Tim Fywell,Wind
Wanda Jean Allen,Gregor Jordan,Of Mice and Men
Rumi Sakakibara,Alexandre Aja,Split Second
Noel Appleby,Ping He,Innocent Blood
Ray Anthony,Margarethe von Trotta,The Playboys
Ken Watanabe,Anil Sharma,The Lover
Mary Alice,Hugo Rodríguez,Diggstown
Junko Takeuchi,Rick de Oliveira,Passion Fish
Eric Bana,John Crowley,Radio Flyer
Bill Nighy,Casey La Scala,Bob Roberts
Pamela Anderson,Paolo Virzì,Twin Peaks: Fire Walk with Me
Kate Hudson,Marco Bellocchio,Man Trouble
David McCullough,Sue Brooks,Peter's Friends
Jack Black,Andrew Jarecki,Passed Away
Jason Isaacs,Philip Saville,The Gun in Betty Lou's Handbag
Jessica Biel,Dana Brown,Traces of Red
Kate Beckinsale,Siddiq Barmak,Blame It on the Bellboy
Ali Larter,Takashi Shimizu,The Public Eye
Daniel Brühl,Antonio Serrano,CrissCross
Christopher Shyer,Peter Hedges,This Is My Life
Ray Wise,André Téchiné,Reservoir Dogs
John Fiedler,Rajkumar Hirani,The Power of One
Jessica Alba,Pupi Avati,Newsies
Hilary Duff,Billy Ray,Year of the Comet
Amanda Bynes,Nathaniel Kahn,Aces: Iron Eagle III
Chaney Kley,Christine Jeffs,Love Crimes
Brittany Murphy,Stephen Fry,Noises Off...
John Barnett,Marco Tullio Giordana,A Brief History of Time
Timothy Stack,Todd Graff,Mom and Dad Save the World
Jamie Kennedy,Valeria Bruni Tedeschi,Bad Lieutenant
Nigel Washington,David Mackenzie,Poison Ivy
Joseph Fiennes,James Cox,The Waterdance
Antonio Sabato Jr.,Brad Mirman,Out on a Limb
Desmond Harrington,Rohan Sippy,Zebrahead
Edward Burns,Honey Irani,One False Move
Charlotte Rampling,Éric Tessier,A Midnight Clear
Tony Jaa,Erik Canuel,Leaving Normal
Michael Gambon,Steven Ramirez,South Central
Jim Moret,Gary Rogers,Gas Food Lodging
Mark Aisbett,Julie Bertuccelli,Brother's Keeper
Chad Bannon,Apurva Asrani,The Best Intentions
Jennifer Connelly,Nia Di Nata,Freddie as F.R.O.7.
Giovanna Mezzogiorno,Prawaal Raman,Mistress
Anna Geislerová,Dagur Kári,Waterland
Michael Pitt,Nimród Antal,Steeper & Deeper
Jean-Claude Donda,Rolf de Heer,Light Sleeper
Mandy Moore,Richard Kwietniowski,Europa
Brendan Mackey,Olias Barco,Ruby
Jonathan Cherry,Jee-woon Kim,Brain Donors
Rémy Girard,Chandra Prakash Dwivedi,Rampage
Donzaleigh Abernathy,Gilles Marchand,Turtle Beach
Fabrizio Bentivoglio,Louis Bélanger,Love Potion No. 9
Roselyn Sanchez,Bong Joon Ho,The Living End
Raymond Bouchard,William Phillips,Incident at Oglala
Hrithik Roshan,Richard Dowlearn,Proof
Nikki Reed,Ed Solomon,Crossing the Bridge
Alex Frost,C.B. Harding,Storyville
Richard Romanus,Manoel de Oliveira,Where the Day Takes You
André Dussollier,LeVar Burton,Monster in a Box
Peter Dinklage,Larry Charles,The Panama Deception
Guillaume Canet,Mikael Håfström,American Dream
Crispin Glover,Naresh Malhotra,In the Soup
Chris Ambrose,Matthew Barney,Falling from Grace
Tupac Shakur,Ammtoje Mann,The Efficiency Expert
Aitana Sánchez-Gijón,Christoffer Boe,My New Gun
Yeong-su Oh,Catherine Hollander,Roadside Prophets
Philippe Noiret,David Hillenbrand,Simple Men
Romola Garai,Andrew Black,Breaking the Rules
Neve Campbell,Claude Brie,Feed
Cécile de France,Gavin Grazer,Bloodfist III: Forced to Fight
Wen Jiang,Sébastien Rose,A Fine Romance
Katja Riemann,Philip Boston,Drive
Diego Luna,Mark Rucker,Fathers & Sons
Benjamin Fletcher,Corneliu Porumboiu,The Vagrant
Mike Vogel,S.J. Suryah,High Strung
Robert McNamara,Martin Doblmeier,Jurassic Park
Kelly Clarkson,Efram Potelle,Mrs. Doubtfire
Alice Teghil,Jacques Doillon,The Fugitive
Maya Sansa,Hideaki Itsuno,Schindler's List
Toni Collette,Robert Lepage,The Firm
Arnold Friedman,Megan Mylan,Indecent Proposal
Christopher Plummer,Damián Szifron,Cliffhanger
Robert August,Bruno Dumont,Sleepless in Seattle
Marina Golbahari,Chris Boebel,Philadelphia
Noriko Sakai,Eloy de la Iglesia,The Pelican Brief
Neri Marcorè,Leonardo Pieraccioni,In the Line of Fire
Luke Kirby,Kim Bartley,Cool Runnings
Anne Reid,Satoshi Kon,Free Willy
Beau Billingslea,Richard Day,Sommersby
Hayden Christensen,Bala Rajasekharuni,Last Action Hero
Edmund Bacon,Andrew Molina,A Perfect World
David Birkin,Eeshwar Nivas,Hot Shots! Part Deux
Simon McBurney,Jonathan Kesselman,Beethoven's 2nd
Luigi Lo Cascio,Alex Steyermark,Dennis the Menace
Daniel Letterle,Benny Mathews,Sliver
Valeria Bruni Tedeschi,Barbara Albert,Rising Sun
Ai Maeda,Mark Decena,Made in America
Michel Côté,A. Dean Bell,Hard Target
Patrick Huard,Yang Li,Groundhog Day
George Henare,Phillip J. Bartell,Grumpy Old Men
Noah Dalton Danby,Zeke Zelker,In the Name of the Father
Lisa Kudrow,Jonathan Karsh,Carlito's Way
Esther Gorintin,Paul Devlin,Dragon: The Bruce Lee Story
Riteish Deshmukh,Danny Provenzano,Dave
Cut Mini Theo,Thom Fitzgerald,The Good Son
Sameera Reddy,Jean-Claude La Marre,Demolition Man
Tómas Lemarquis,Kevin Mukherji,The Beverly Hillbillies
Sándor Csányi,John Smihula,Sister Act 2: Back in the Habit
Gary Sweet,Peter Rosen,Tombstone
Kirby Heyborne,Tara Judelle,Rookie of the Year
Nicolas Duvauchelle,Alan Hruska,The Three Musketeers
Kap-su Kim,Azita Zendel,The Nightmare Before Christmas
Sophie Quinton,Tiffany Shlain,Addams Family Values
Serge Thériault,Kartal Tibet,Wayne's World 2
Gretchen Mol,Elia Zois,Malice
Kang-ho Song,Bob Odenkirk,Teenage Mutant Ninja Turtles III
Seth Green,Nolan Lebovitz,Homeward Bound: The Incredible Journey
Steve Bakken,Nathan Smith Jones,Falling Down
Jeff Foxworthy,Bret Wood,Cop & ½
Leonor Silveira,Dan Patton,The Piano
Paul Schneider,Nina Gilden Seavey,Hocus Pocus
Bob Dylan,William A. Baker,What's Love Got to Do with It
Andreas Wilson,Rawson Marshall Thurber,Alive
Arjun Rampal,Will Finn,Son in Law
Angelina Peláez,Stephen Hillenburg,Robin Hood: Men in Tights
Matthew Barney,Alexander Witt,The Sandlot
Babbu Mann,James Wan,The Joy Luck Club
Klaus Mulbjerg,Zack Snyder,The Age of Innocence
Erwin Chemerinsky,Eric Bress,The Secret Garden
Tatyana Ali,Oliver Hirschbiegel,Point of No Return
Irene Escolar,Adam McKay,Loaded Weapon 1
Kam Heskin,Pitof,Menace II Society
Annie Grenier,Christophe Barratier,My Life
Micheline Lanctôt,Ethan Coen,Poetic Justice
Shawn Barron,Je-kyu Kang,Shadowlands
Charles Busch,Michel Gondry,The Man Without a Face
Constantin Dita,Mark Rosman,Striking Distance
Fardeen Khan,Kerry Conran,The Adventures of Huck Finn
Martin Doblmeier,Jonathan Hensleigh,Benny & Joon
Shia LaBeouf,Chris Stokes,The Remains of the Day
Pascal Greggory,Jared Hess,The Program
Flo Di Re,Olivier Dahan,Guilty as Sin
Robert Lepage,Zach Braff,Rudy
Yaël Abecassis,Sara Sugarman,Much Ado About Nothing
Santino Majok Chuor,Christopher Erskin,Nowhere to Run
Daniel Hendler,Edgar Wright,Coneheads
Yekaterina Golubeva,Don Mancini,Super Mario Bros.
Fernando Guillén Cuervo,Jonathan Glazer,Another Stakeout
Leonardo Pieraccioni,Jeff Schaffer,Fire in the Sky
Hugo Chávez,Paul McGuigan,Sniper
Tôru Emori,Morgan Spurlock,Untamed Heart
Jack Plotnick,Charles Dance,Geronimo: An American Legend
Joe Brown,Cheryl Dunye,Posse
Bruno Todeschini,Paul Abascal,CB4
Vikram Dasu,William Arntz,Born Yesterday
Eishy Hayata,Jessy Terrero,A Bronx Tale
Adam Goldberg,Alain Chabat,Heart and Souls
Gina Gershon,Joshua Marston,Jason Goes to Hell: The Final Friday
Diwakar Pathak,Pieter Jan Brugge,Needful Things
Kathrin Resetarits,Kazuaki Kiriya,Indian Summer
John Livingston,Sergio Castellitto,The Vanishing
Judith Ivey,Lance Rivera,The Crush
Yixiang Li,Matthew Vaughn,Man's Best Friend
Cole Williams,Fatih Akin,A Far Off Place
Will Keenan,Pierre Morel,Weekend at Bernie's II
Anthony Tom,Katsuhiro Ôtomo,Judgment Night
Dennis Bakke,Farah Khan,Life with Mikey
Frank Vincent,Brian Dannelly,Undercover Blues
Joanna Adler,Joe Nussbaum,True Romance
Amanda Byram,Sergio Arau,So I Married an Axe Murderer
Robert Altman,Mamoru Oshii,Army of Darkness
Monica Calhoun,Álex de la Iglesia,Manhattan Murder Mystery
John McNaughton,Kevin Spacey,Who's the Man?
Sanford Bishop,Hans Weingartner,For Love or Money
Lala Sloatman,Yôji Yamada,Mad Dog and Glory
Emmy Rossum,Cristi Puiu,Gettysburg
Amy Blomquist,Jay Chandrasekhar,RoboCop 3
Liz Marks,Sanjay Gadhvi,The Dark Half
Tuncay Akça,Yash Chopra,Look Who's Talking Now
Steve Parlavecchio,Su-chang Kong,Boiling Point
Michael Blieden,Tod Williams,What's Eating Gilbert Grape
Timothy Dowling,Charles S. Dutton,Amos & Andrew
Nathan Smith Jones,Timothy Björklund,Flesh and Bone
Richard Anderson,Farhan Akhtar,Matinee
Zoska Aleece,Nicole Kassell,We're Back! A Dinosaur's Story
Alexei Arzamastsev,Yôichi Sai,Lost in Yonkers
Brian Patrick Clarke,Gianni Amelio,Leprechaun
Philip Baker Hall,Eytan Fox,Mr. Jones
Julian Glover,Niels Mueller,Aspen Extreme
Chieko Baishô,André Ducharme,The Meteor Man
Clive Owen,Arnaud Desplechin,Dazed and Confused
Sanaa Lathan,Zana Briski,Fatal Instinct
G.W. Bailey,John Curran,Searching for Bobby Fischer
Tom Kenny,Russell Holt,Fearless
Anne Hathaway,Robert C. Ramirez,The Wedding Banquet
Tim Ivey,Omar Naim,Best of the Best II
Paul Giamatti,Stacy Peralta,Once Upon a Forest
Viggo Mortensen,Andrés Wood,The Real McCoy
Leigh Whannell,Pawel Pawlikowski,The Temp
Jennifer Garner,Jehane Noujaim,Six Degrees of Separation
Bruno Ganz,Jan Hrebejk,Short Cuts
Gérard Jugnot,Leonardo Defilippis,The Cemetery Club
Stellan Skarsgård,Cédric Kahn,Heaven & Earth
Dong-Gun Jang,Daniel Burman,Hear No Evil
Matthew Price,Chazz Palminteri,Swing Kids
Johnny Messner,Hirokazu Koreeda,Batman: Mask of the Phantasm
Caroline Aaron,Marco Kreuzpaintner,Three of Hearts
Michael Bowen,Jean Beaudin,Farewell My Concubine
A. Russell Andrews,Kunal Kohli,Jack the Bear
Omarion,Ghyslaine Côté,Ghost in the Machine
Kenan Thompson,Shainee Gabel,Surf Ninjas
Jon Heder,Mary McGuckian,Blood In
Zach Braff,Jonathan Nossiter,Mr. Nanny
Betty Aberlin,Shinji Aramaki,This Boy's Life
Xolani Mali,Brad McGann,Warlock: The Armageddon
Cedric the Entertainer,Davide Ferrario,Father Hood
Simon Pegg,Michelangelo Antonioni,My Boyfriend's Back
Brady Corbet,Michael Mayer,Only the Strong
John Cho,Mick Davis,Splitting Heirs
Scott Mechlowicz,Pierre Houle,Mr. Wonderful
Bernie Mac,Gregory Jacobs,Airborne
Ashley Olsen,Karen Shakhnazarov,Hexed
Eion Bailey,Lucrecia Martel,Calendar Girl
Chemeeka Walker,Damien O'Donnell,Son of the Pink Panther
Wallace Shawn,Scott S. Anderson,Kalifornia
Tony Chiu-Wai Leung,Yves Pelletier,The Nutcracker
Marilou Berry,Elliot Berlin,The Night We Never Met
Kristen Stewart,Christophe Honoré,Boxing Helena
Cole Hauser,Greg Carson,Naked
Marina Foïs,Jacob Estes,Carnosaur
Imelda Staunton,Patrick Paulson,A Home of Our Own
Catalina Sandino Moreno,Samir Karnik,Josh and S.A.M.
Yûsuke Iseya,Ian Iqbal Rashid,Black Diamond Rush
Ja Rule,Jordan Roberts,Wide Sargasso Sea
Daniel Craig,Mani Ratnam,M. Butterfly
Birol Ünel,Shane Carruth,A Dangerous Woman
Cyril Raffaelli,Jeff Nathanson,Ernest Rides Again
Erika Christensen,Richard Ciupka,Three Colors: Blue
Anne Suzuki,Manmohan Singh,Thirty Two Short Films About Glenn Gould
Sandrine Bonnaire,Aleksi Salmenperä,King of the Hill
Alexa PenaVega,Gabriel Manwaring,Excessive Force
Akio Ôtsuka,Maurizio Benazzo,Money for Nothing
Guillermo Toledo,Ousmane Sembene,The Thing Called Love
Tia Texada,Jessica Yu,Ruby in Paradise
Masatoshi Nagase,Ryûhei Kitamura,The War Room
Mimi Branescu,Paul Doyle Jr.,Street Knight
Elena Lyons,Nickolas Perry,Faraway
Kimberly Elise,Miguel Albaladejo,Bodies
Woo-seong Kam,Louie Schwartzberg,Household Saints
Elle Fanning,Leslie Small,Road Scholar
Atta Yaqub,Donovan Cook,The Ballad of Little Jo
Takeshi Kitano,Dan Harris,Sex Is...
Kim Rossi Stuart,Jeff Santo,House of Cards
Guy A. Lepage,Frédéric Fonteyne,The Music of Chance
Nick Whitaker,Stevan Mena,Ethan Frome
Emmanuelle Devos,Giorgos Panousopoulos,Riff-Raff
Kochi,Steve Suissa,Wrestling Ernest Hemingway
Seung-Yun Lee,Ondi Timoner,Amongst Friends
Mark Ruffalo,Rohit Jagessar,Dead Alive
Sam Hennings,Keren Yedaya,Bopha!
Jeff Clark,Ken Ghosh,The Saint of Fort Washington
Matías Quer,Joseph Mealey,The Trial
Benoît Magimel,Reverge Anselmo,Bank Robber
Sotigui Kouyaté,Christian Vuissa,Twenty Bucks
Natalie Press,Revathy,It's All True
Pascale Bussières,Alice Wu,Wilder Napalm
Samir Khader,Govind Nihalani,The Pickle
Petr Forman,Rudy Barichello,Return of the Living Dead III
Lindsay Younce,Deb Ellis,Twist
Jean-Pierre Darroussin,James Ronald Whitney,Freaked
Yûya Yagira,Milan Luthria,Morning Glory
Derek Hutchinson,Eric Chaikin,Wild West
Robert Stadlober,Stephen K. Bannon,Dangerous Game
Noémie Godin-Vigneau,Ralph Torjan,Deadfall
James Hetfield,Robert Stone,The Last Party
Saif Ali Khan,Kevin Knoblock,The Hawk
Jacinthe Laguë,Michael Clancy,When the Party's Over
Albiera Antinori,Matthew Hastings,Philadelphia Experiment II
Christopher Jacot,Rodney Evans,Children of Fate: Life and Death in a Sicilian Family
Ai Kobayashi,Brett Sullivan,The Lion King
Matthew Macfadyen,Gilles Noël,Forrest Gump
Giorgio Pasotti,Ji-yeong Kim,True Lies
Kieran O'Brien,David Lebrun,The Mask
Andrew Chalmers,Olga Stolpovskaja,Speed
Anthony Mackie,People of Iraq,The Flintstones
Céline Bonnier,Sven Pape,Dumb and Dumber
John C. Reilly,Neal Sundstrom,Four Weddings and a Funeral
Andrey Panin,Menachem Daum,Interview with the Vampire: The Vampire Chronicles
Mercedes Morán,Rajiv Rai,Clear and Present Danger
Steven Robertson,Jim de Sève,Disclosure
K.C. Clyde,John Simpson,Pulp Fiction
Emmanuel Bilodeau,Zak Penn,Stargate
Tom Bosley,Bruce La Bruce,The Santa Clause
Richie Jen,Avi Lewis,Maverick
Michael Winterbottom,Danny Schechter,The Specialist
Rory Culkin,Craig Highberger,Legends of the Fall
Jay-Z,Michael Arick,Wolf
Aftab Shivdasani,Kate Novack,Beverly Hills Cop III
David Alston,María Lidón,Star Trek: Generations
Shane Carruth,Matt Cooper,The Client
Isild Le Besco,Robert Mickelson,Mary Shelley's Frankenstein
Marie-Chantal Perron,Tony Piccirillo,Junior
Harbhajan Mann,Federico Hidalgo,Ace Ventura: Pet Detective
Minna Haapkylä,Rob Moretti,Nell
Roger Ailes,Sang-guk Nam,Timecop
Jasper Johal,Eric Small,Street Fighter
Fatoumata Coulibaly,Jimmy Lee,The River Wild
Masahiro Matsuoka,Jeong-won Shin,The Little Rascals
Joe Castiglione,James Merendino,Naked Gun 33 1/3: The Final Insult
José Luis García Pérez,Peter Gilbert,The Crow
Amira Casar,Philippe Martinez,Natural Born Killers
George Woodard,Yale Strom,Angels in the Outfield
Mo'Nique,Chuck Parello,Little Women
Wayne Allwine,Abigail Honor,When a Man Loves a Woman
Sarah Adler,Dinaz Stafford,The Paper
Ron Santo,Hans Fjellestad,The Shadow
Jonathan Jackson,Shinobu Yaguchi,Miracle on 34th Street
R. Brandon Johnson,Richard Gabai,D2: The Mighty Ducks
Dimitris Liakopoulos,Aitor Arregi,City Slickers II: The Legend of Curly's Gold
David Albright,Alison Maclean,The Jungle Book
Stéphane Freiss,Sandeep Sawant,On Deadly Ground
Anton Newcombe,Kollo Sanou,Ri¢hie Ri¢h
Aasheekaa Bathija,Francis Lawrence,It Could Happen to You
Danny Allen,Robert Schwentke,Reality Bites
Aerosmith,Steve Box,I Love Trouble
Dana Ivgy,Judd Apatow,Major League II
Kareena Kapoor Khan,Hideo Nakata,Blank Check
Cathy Bonner,Frank Miller,Blown Away
Steve Anderson,Darren Lynn Bousman,The Getaway
Michelle Krusiec,Scott Derrickson,A Low Down Dirty Shame
Jean-Nicolas Verreault,Angela Robinson,In the Army Now
Joshua Coleman,Luc Jacquet,Drop Zone
Joe Edley,Joe Wright,The Shawshank Redemption
Irene Ziegler,Breck Eisner,Guarding Tess
Carlos Castaneda,Cory Edwards,My Father the Hero
Russ Little,Andrew Douglas,Wyatt Earp
Madeleine Albright,Garth Jennings,Quiz Show
Corey Sevier,Thomas Bezucha,Renaissance Man
Emily Perkins,Geoffrey Sax,Blue Chips
Roy Dupuis,Florent-Emilio Siri,Intersection
Jae-hyeon Jo,Jaume Collet-Serra,The Air Up There
Marian Seldes,Gary Chapman,Iron Will
Damir Badmaev,Neil Marshall,Jason's Lyric
Süleyman Çobanoglu,Frank Nissen,Speechless
People of Iraq,Darren Grant,The Cowboy Way
Zack Ward,Bennett Miller,Corrina
Akiva Daum,Mike Bigelow,Only You
Jeff Anderson,Joss Whedon,With Honors
Matt Letscher,John Gatins,Color of Night
Bob Barr,Susan Stroman,Wes Craven's New Nightmare
Lee Evans,Jean-François Richet,8 Seconds
Werner Herzog,Bruce Hunt,Léon: The Professional
Susanne Sachße,Jeff Wadlow,Little Giants
